File,Console Count,Priority,Status,Assigned,Notes
apps/web/pages/api/content/update.ts,3,P3-Low,pending,,"Content"
apps/web/pages/api/content/unarchive.ts,4,P3-Low,pending,,"Content"
apps/web/pages/api/diligence/integrations.ts,4,P3-Low,pending,,"Diligence"
apps/web/pages/api/diligence/links.ts,2,P3-Low,pending,,"Diligence"
apps/web/pages/api/billing/[provider]/checkout.ts,8,P3-Low,pending,,"Billing"
apps/web/hooks/use-performance.ts,2,P3-Low,pending,,"Frontend hooks"
apps/web/lib/stripe.ts,1,P3-Low,pending,,"Stripe"
apps/web/lib/providers.ts,1,P3-Low,pending,,"Providers"
apps/web/middleware.ts,1,P3-Low,pending,,"Middleware"
control-plane/api/routes/themes.ts,1,P3-Low,pending,,"Themes"
control-plane/api/routes/orgs.ts,3,P3-Low,pending,,"Organizations"
control-plane/api/routes/roi-risk.ts,1,P3-Low,pending,,"ROI"
control-plane/api/routes/media.ts,2,P3-Low,pending,,"Media"
control-plane/api/routes/notifications.ts,4,P3-Low,pending,,"Notifications"
control-plane/api/routes/notifications-admin.ts,4,P3-Low,pending,,"Notifications"
control-plane/api/routes/llm.ts,3,P3-Low,pending,,"LLM"
control-plane/api/routes/content.ts,1,P3-Low,pending,,"Content"
control-plane/api/routes/planning.ts,1,P3-Low,pending,,"Planning"
control-plane/api/routes/onboarding.ts,2,P3-Low,pending,,"Onboarding"
control-plane/api/routes/portfolio.ts,2,P3-Low,pending,,"Portfolio"
control-plane/api/routes/domain-details.ts,1,P3-Low,pending,,"Domains"
control-plane/api/routes/domains.ts,1,P3-Low,pending,,"Domains"
control-plane/api/routes/content-list.ts,1,P3-Low,pending,,"Content"
control-plane/api/routes/content-schedule.ts,1,P3-Low,pending,,"Content"
control-plane/api/routes/affiliates.ts,1,P3-Low,pending,,"Affiliates"
control-plane/api/routes/attribution.ts,2,P3-Low,pending,,"Attribution"
control-plane/api/routes/usage.ts,2,P3-Low,pending,,"Usage"
control-plane/api/routes/timeline.ts,2,P3-Low,pending,,"Timeline"
control-plane/api/routes/queue-metrics.ts,1,P3-Low,pending,,"Queue metrics"
control-plane/api/routes/queues.ts,1,P3-Low,pending,,"Queues"
control-plane/api/routes/media-lifecycle.ts,2,P3-Low,pending,,"Media"
control-plane/api/routes/diligence.ts,2,P3-Low,pending,,"Diligence"
control-plane/api/http.ts,1,P3-Low,pending,,"HTTP"
control-plane/api/rate-limit-read.ts,3,P3-Low,pending,,"Rate limiting"
control-plane/services/ai-advisory-recorder.ts,2,P3-Low,pending,,"AI"
control-plane/services/affiliate-replacement-executor.ts,3,P3-Low,pending,,"Affiliates"
control-plane/services/affiliate-revenue-confidence.ts,1,P3-Low,pending,,"Affiliates"
control-plane/services/alerts.ts,7,P3-Low,pending,,"Alerts"
control-plane/services/analytics-read-model.ts,3,P3-Low,pending,,"Analytics"
control-plane/services/container.ts,7,P3-Low,pending,,"Container"
control-plane/services/invite-service.ts,1,P3-Low,pending,,"Invites"
control-plane/services/membership-service.ts,1,P3-Low,pending,,"Membership"
control-plane/services/publishing-hook.ts,2,P3-Low,pending,,"Publishing"
control-plane/services/rate-limiter-redis.ts,2,P3-Low,pending,,"Rate limiting"
control-plane/services/rate-limit.ts,1,P3-Low,pending,,"Rate limiting"
control-plane/services/repository-factory.ts,2,P3-Low,pending,,"Repository"
control-plane/services/search-query.ts,1,P3-Low,pending,,"Search"
control-plane/services/usage-batcher.ts,1,P3-Low,pending,,"Usage"
control-plane/adapters/keywords/ahrefs.ts,1,P3-Low,pending,,"Keywords"
control-plane/adapters/keywords/gsc.ts,1,P3-Low,pending,,"GSC"
domains/customers/application/CustomersService.ts,1,P3-Low,pending,,"Customers"
domains/media/application/handlers/CompleteUpload.ts,2,P3-Low,pending,,"Media"
domains/media/application/handlers/CreateUploadIntent.ts,2,P3-Low,pending,,"Media"
domains/media/application/handlers/UploadMedia.ts,2,P3-Low,pending,,"Media"
domains/notifications/application/NotificationPreferenceService.ts,2,P3-Low,pending,,"Notifications"
domains/notifications/application/NotificationService.ts,1,P3-Low,pending,,"Notifications"
domains/planning/application/PlanningOverviewService.ts,3,P3-Low,pending,,"Planning"
domains/publishing/application/PublishingService.ts,1,P3-Low,pending,,"Publishing"
domains/seo/application/handlers/UpdateSeo.ts,2,P3-Low,pending,,"SEO"
packages/analytics/pipeline.ts,1,P3-Low,pending,,"Analytics"
packages/cache/cacheInvalidation.ts,1,P3-Low,pending,,"Cache"
packages/cache/performanceHooks.ts,2,P3-Low,pending,,"Cache"
packages/cache/queryCache.ts,4,P3-Low,pending,,"Cache"
packages/database/__tests__/transaction-error-handling.test.ts,1,P3-Low,pending,,"Tests"
packages/kernel/health-checks.ts,1,P3-Low,pending,,"Health"
packages/kernel/logger.ts,1,P3-Low,pending,,"Logger"
packages/kernel/validation/types.ts,1,P3-Low,pending,,"Validation"
packages/monitoring/costTracker.ts,1,P3-Low,pending,,"Monitoring"
packages/monitoring/health-checks.ts,1,P3-Low,pending,,"Monitoring"
packages/monitoring/metrics-collector.ts,1,P3-Low,pending,,"Monitoring"
packages/monitoring/telemetry.ts,1,P3-Low,pending,,"Monitoring"
packages/utils/cacheStampedeProtection.ts,1,P3-Low,pending,,"Utils"
packages/utils/fetchWithRetry.ts,1,P3-Low,pending,,"Utils"
plugins/media-plugin.ts,1,P3-Low,pending,,"Plugins"
plugins/notification-adapters/email-adapter.ts,5,P3-Low,pending,,"Plugins"
plugins/notification-adapters/webhook-adapter.ts,1,P3-Low,pending,,"Plugins"
plugins/publishing-adapters/vercel-adapter.ts,1,P3-Low,pending,,"Plugins"
plugins/seo-plugin.ts,1,P3-Low,pending,,"Plugins"
test/setup.ts,6,P3-Low,pending,,"Test setup"
